Omega_over_gamma,Delta_over_gamma,k,alpha_over_gamma,min_abs_Fk_on_boundary,y_at_min_abs_Fk,min_Re_Fk_on_boundary,y_at_min_Re_Fk,min_Re_Sigma_minus,y_at_min_Re_Sigma_minus,min_Re_Sigma_plus,y_at_min_Re_Sigma_plus,min_Re_R_minus_1,min_Re_R_plus_1
0.25,0.05,3,0.20782977563331673,0.15756124200256078,0.5549999999999999,-0.2046830630079582,6.0,0.007643446423462446,6.0,0.007154224324883819,6.0,0.30106809194313744,0.29914260102174905
0.25,0.05,4,0.20782977563331673,0.22203421725379638,0.765,-0.20244859760295475,6.0,0.017877980460413168,6.0,0.01673486095285259,6.0,0.3071340877199611,0.3048285778862877
0.25,0.05,5,0.20782977563331673,0.29155360882416287,0.96,-0.19949438371091924,6.0,0.030740204165502414,6.0,0.028777264195754066,6.0,0.3148691667559991,0.3120726651672839
0.25,0.05,6,0.20782977563331673,0.3640398781150913,1.185,-0.19570174537610632,6.0,0.046275251695857736,6.0,0.043325163914195816,6.0,0.32437755633026316,0.3209683029183279
0.25,0.05,7,0.20782977563331673,0.4369483155170415,1.395,-0.19091628596976973,6.0,0.06453636514490499,6.0,0.06043034386450643,6.0,0.33578674696819794,0.33162992577136496
0.25,0.05,8,0.20782977563331673,0.5094736374244905,1.6199999999999999,-0.18494038630947787,6.0,0.08558437457188095,6.0,0.08015224340331992,6.0,0.3492486917577484,0.34419414233792456
0.25,0.05,9,0.20782977563331673,0.5806668951024222,1.845,-0.1775235995555242,6.0,0.10948707741545197,6.0,0.10255747668024194,6.0,0.36494109216765597,0.35882103433534907
0.25,0.05,10,0.20782977563331673,0.6502313504200778,2.0549999999999997,-0.16835050021361794,6.0,0.13631851265221412,6.0,0.12771926319133678,6.0,0.3830687033352753,0.3756955277761862
0.25,0.05,11,0.20782977563331673,0.7183552196812901,2.295,-0.15702545372682405,6.0,0.166158125673803,6.0,0.15571676365326365,6.0,0.4038645721242855,0.39502877303319506
0.25,0.05,12,0.20782977563331673,0.7850837183175186,2.52,-0.1430536818789322,6.0,0.199089820959038,6.0,0.18663431564208427,6.0,0.42759109820549157,0.4170594517590292
