Omega_over_gamma,Delta_over_gamma,k,alpha_over_gamma,min_sigma_min_Mk_on_boundary,y_at_min_sigma,min_abs_det_Mk_on_boundary,y_at_min_abs_det
0.25,0.05,3,0.20782977563331673,0.07726159962470233,0.55,0.22044717383268295,0.525
0.25,0.05,4,0.20782977563331673,0.10678279843891805,0.75,0.5499817575503788,0.7250000000000001
0.25,0.05,5,0.20782977563331673,0.1376659771089763,0.9500000000000001,1.173513135319537,0.9
0.25,0.05,6,0.20782977563331673,0.16847424177296436,1.175,2.2407752024804117,1.1
0.25,0.05,7,0.20782977563331673,0.19794029215174824,1.375,3.947766545896959,1.3
0.25,0.05,8,0.20782977563331673,0.2261929503936323,1.6,6.523489975711827,1.475
0.25,0.05,9,0.20782977563331673,0.2530397126567298,1.8250000000000002,10.2500347799689,1.675
0.25,0.05,10,0.20782977563331673,0.2784098106842075,2.025,15.458711131180545,1.875
0.25,0.05,11,0.20782977563331673,0.3024992513271173,2.25,22.52328978281602,2.1
0.25,0.05,12,0.20782977563331673,0.3255992128886823,2.475,31.88046885040591,2.3000000000000003
0.25,0.060000000000000005,3,0.200838804628947,0.08368560593279624,0.55,0.24125752993067306,0.525
0.25,0.060000000000000005,4,0.200838804628947,0.11315681436003931,0.75,0.5887941777148884,0.7250000000000001
0.25,0.060000000000000005,5,0.200838804628947,0.14397538759642725,0.9500000000000001,1.235089732681414,0.9
0.25,0.060000000000000005,6,0.200838804628947,0.174765798459659,1.175,2.3385038479290112,1.1
0.25,0.060000000000000005,7,0.200838804628947,0.20422082407762782,1.375,4.08947868829728,1.2750000000000001
0.25,0.060000000000000005,8,0.200838804628947,0.23249403702666416,1.6,6.7258411957684014,1.475
0.25,0.060000000000000005,9,0.200838804628947,0.2593623901855793,1.8250000000000002,10.533085627635279,1.675
0.25,0.060000000000000005,10,0.200838804628947,0.2847293474446429,2.025,15.84335859489283,1.875
0.25,0.060000000000000005,11,0.200838804628947,0.3088423499423636,2.25,23.042157539221964,2.075
0.25,0.060000000000000005,12,0.200838804628947,0.33196177125028775,2.475,32.56645881731392,2.3000000000000003
0.25,0.07,3,0.19421355425276188,0.08988375367737611,0.55,0.2620522014543408,0.525
0.25,0.07,4,0.19421355425276188,0.11927753137201924,0.75,0.6264552427350529,0.7000000000000001
0.25,0.07,5,0.19421355425276188,0.15002068249897083,0.9500000000000001,1.2956695756659722,0.9
0.25,0.07,6,0.19421355425276188,0.18078734875127056,1.175,2.4321839612897955,1.075
0.25,0.07,7,0.19421355425276188,0.21023111130557165,1.375,4.2260618468183475,1.2750000000000001
0.25,0.07,8,0.19421355425276188,0.23852449619616806,1.6,6.923260425826238,1.475
0.25,0.07,9,0.19421355425276188,0.26541451909425673,1.8250000000000002,10.808802275705544,1.675
0.25,0.07,10,0.19421355425276188,0.2907790282049307,2.025,16.21758807263047,1.875
0.25,0.07,11,0.19421355425276188,0.3149148425504717,2.25,23.53796917964977,2.075
0.25,0.07,12,0.19421355425276188,0.3380528874077598,2.475,33.215042415134654,2.275
0.25,0.08,3,0.1879209255028374,0.09588044731782919,0.55,0.28285161168829176,0.525
0.25,0.08,4,0.1879209255028374,0.1251708827131336,0.75,0.661926857870547,0.7000000000000001
0.25,0.08,5,0.1879209255028374,0.15582791775660962,0.9500000000000001,1.3553677578786072,0.9
0.25,0.08,6,0.1879209255028374,0.18656523564388838,1.175,2.521186505286963,1.075
0.25,0.08,7,0.1879209255028374,0.21599750887485844,1.375,4.359863338899739,1.2750000000000001
0.25,0.08,8,0.1879209255028374,0.24431091863168708,1.6,7.115886659963965,1.4500000000000002
0.25,0.08,9,0.1879209255028374,0.2712229051670775,1.8250000000000002,11.073697555678402,1.6500000000000001
0.25,0.08,10,0.1879209255028374,0.296585702614196,2.025,16.57832368423007,1.85
0.25,0.08,11,0.1879209255028374,0.32074383060784356,2.25,23.9076824497954,0.0
