Omega_over_gamma,Delta_over_gamma,k,alpha_over_gamma,min_sigma_min_Mk_on_boundary,y_at_min_sigma,min_abs_det_Mk_on_boundary,y_at_min_abs_det,min_Re_Sigma_minus,min_Re_Sigma_plus
0.25,0.06,3,0.20083880462894693,0.08368129164257442,0.551,0.24119721521458187,0.5275,0.02136229223850071,0.02072943918104472
0.25,0.061,3,0.2001604121558258,0.08431082141102884,0.551,0.24329391890003985,0.527,0.02136325983535288,0.020720217781023245
0.25,0.062,3,0.19948563625658872,0.08493811913655204,0.551,0.2453879178147302,0.527,0.021364223043543826,0.020711003034580358
0.25,0.063,3,0.19881444200451456,0.08556321068825753,0.551,0.24747832455261745,0.5265,0.021365181716359358,0.020701794776762296
0.25,0.064,3,0.19814679505981247,0.08618612148988454,0.551,0.24956628466576034,0.526,0.0213661357095763,0.02069259284583242
0.25,0.065,3,0.19748266165528952,0.0868068765308569,0.551,0.2516518202500272,0.5255,0.021367084881400947,0.0206833970831932
0.25,0.066,3,0.19682200858247412,0.08742550037698635,0.551,0.2537346478202871,0.5255,0.021368029092409493,0.020674207333310764
0.25,0.067,3,0.1961648031781693,0.08804201718084292,0.551,0.2558142703827051,0.525,0.021368968205490353,0.020665023443641656
0.25,0.068,3,0.1955110133114295,0.08865645069179517,0.551,0.2578915760891409,0.5245,0.021369902085788352,0.020655845264562003
0.25,0.069,3,0.19486060737093622,0.08926882426574277,0.551,0.25996658646605997,0.524,0.021370830600650616,0.020646672649298738
0.25,0.06999999999999999,3,0.19421355425276227,0.08987916087454381,0.551,0.2620391524121417,0.524,0.021371753619574274,0.02063750545386301
0.25,0.071,3,0.1935698233485064,0.09048748311515871,0.551,0.2641086133201791,0.5235,0.021372671014155648,0.020628343536985543
0.25,0.072,3,0.19292938453379394,0.09109381321850539,0.551,0.26617588173423334,0.523,0.021373582658041144,0.020619186760053997
0.25,0.073,3,0.1922922081571113,0.09169817305805847,0.551,0.2682409785257396,0.5225,0.021374488426879577,0.02061003498705217
0.25,0.074,3,0.19165826502898725,0.09230058415817738,0.551,0.27030392459946656,0.522,0.021375388198275988,0.020600888084500994
0.25,0.075,3,0.19102752641148324,0.09290106770219464,0.551,0.2723640301922599,0.522,0.021376281851746864,0.020591745921401314
