Omega_over_gamma,Delta_over_gamma,alpha_over_gamma,min_sigma_min_Mk_on_boundary,y_at_min_sigma,min_abs_det_Mk_on_boundary,y_at_min_abs_det
0.26,0.074,0.24248650715693254,0.05269596285637478,0.581,0.1571479187553155,0.575
0.26,0.0741,0.24224026442377505,0.052910445435661604,0.581,0.1578557142109027,0.575
0.26,0.0742,0.241996426693623,0.05312291358706318,0.581,0.1585575427139062,0.575
0.26,0.07429999999999999,0.24175492918997474,0.05333342170191908,0.581,0.1592535654168696,0.575
0.26,0.0744,0.241515709923315,0.053542021832437996,0.581,0.15994393656952316,0.575
0.26,0.0745,0.24127870952744265,0.05374876382903152,0.581,0.1606288039230539,0.575
0.26,0.0746,0.24104387110792627,0.05395369546747391,0.581,0.16130830910447294,0.575
0.26,0.0747,0.2408111401015763,0.054156862566818516,0.581,0.16198258796382156,0.575
0.26,0.07479999999999999,0.24058046414602086,0.054358309098838736,0.581,0.16265177089645488,0.575
0.26,0.0749,0.24035179295844797,0.054558077289778885,0.581,0.1633159831427256,0.575
0.26,0.075,0.24012507822280957,0.054756207715003946,0.581,0.16397534506678638,0.575
0.26,0.0751,0.23990027348471815,0.05495273938719849,0.581,0.1646299724164207,0.575
0.26,0.0752,0.23967733405344882,0.055147709232160565,0.58095,0.16527997656533855,0.575
0.26,0.07529999999999999,0.23945621691043917,0.055341153692176244,0.58095,0.16592546473944078,0.575
0.26,0.0754,0.2392368806237884,0.05553310788461848,0.58095,0.16656654022827608,0.575
0.26,0.0755,0.23901928526827904,0.05572360534059607,0.58095,0.16720330258286498,0.575
0.26,0.0756,0.23880339235047604,0.055912678389311264,0.58095,0.16783584780099614,0.575
0.26,0.07569999999999999,0.23858916473854763,0.05610035821695284,0.58095,0.16846426850085788,0.575
0.26,0.07579999999999999,0.23837656659640963,0.05628667492196318,0.58095,0.16908865408400175,0.575
0.26,0.0759,0.2381655633219117,0.056471657566911755,0.58095,0.16970909088831895,0.575
0.26,0.076,0.23795612148873757,0.056655334227254606,0.58095,0.1703256623318489,0.575
0.26,0.0761,0.23774820879176847,0.056837732037186776,0.58095,0.1709384490480303,0.575
0.26,0.07619999999999999,0.23754179399565062,0.057018877232806534,0.58095,0.17154752901304024,0.575
0.26,0.07629999999999999,0.23733684688634687,0.05719879519277604,0.58095,0.17215297766575888,0.575
0.26,0.0764,0.23713333822546348,0.057377510476653786,0.58095,0.17275486802087667,0.575
0.26,0.0765,0.23693123970715427,0.05755504686106189,0.58095,0.17335327077563484,0.575
0.26,0.0766,0.23673052391743765,0.05773142737383294,0.58095,0.17394825441060102,0.575
0.26,0.07669999999999999,0.23653116429575208,0.05790667432627556,0.58095,0.17453988528491232,0.575
0.26,0.0768,0.23633313509861242,0.05808080934367716,0.58095,0.17512822772632503,0.575
0.26,0.0769,0.23613641136521749,0.05825385339417098,0.58095,0.17571334411644207,0.575
0.26,0.077,0.23594096888489563,0.05842582681605924,0.58095,0.17629529497139318,0.575
0.26,0.0771,0.2357467841662584,0.05859674934370507,0.58095,0.1768741390182934,0.575
0.26,0.07719999999999999,0.23555383440796135,0.05876664013207163,0.58095,0.17744993326772565,0.575
0.26,0.0773,0.23536209747096715,0.05893551778000617,0.58095,0.17802273308250877,0.575
0.26,0.0774,0.23517155185222025,0.059103400352334766,0.58095,0.17859259224297397,0.575
0.26,0.0775,0.23498217665964333,0.05927030540085089,0.58095,0.17915956300897018,0.575
0.26,0.0776,0.23479395158838207,0.059436249984254695,0.58095,0.17972369617878173,0.575
0.26,0.07769999999999999,0.23460685689821575,0.05960125068711454,0.58095,0.18028504114516067,0.575
0.26,0.0778,0.23442087339206907,0.05976532363790457,0.58095,0.18084364594863478,0.575
0.26,0.0779,0.2342359823955567,0.0599284845261756,0.58095,0.18139955732825944,0.575
0.26,0.078,0.23405216573750842,0.06009074861890269,0.58095,0.181952820769941,0.575
0.26,0.0781,0.23386940573140375,0.06025213077606907,0.58095,0.18250348055251145,0.575
0.26,0.07819999999999999,0.23368768515768568,0.06041264546551434,0.58095,0.18305157979162354,0.575
0.26,0.0783,0.23350698724687885,0.06057230677710441,0.58095,0.18359716048165728,0.575
