Omega_over_gamma,Delta_over_gamma,gap1_over_gamma,gap2_over_gamma,alpha_over_gamma,winner_k,gap2_minus_gap1
0.2647,0.0825,0.26904650571019795,0.2807079383116241,0.26904650571019795,1,0.011661432601426158
0.2647,0.08255,0.2686774971798006,0.2807180995053074,0.2686774971798006,1,0.0120406023255068
0.2647,0.0826,0.26831771744750893,0.28072826710337434,0.26831771744750893,1,0.01241054965586541
0.2647,0.08265,0.26796656819983505,0.28073844110619345,0.26796656819983505,1,0.012771872906358395
0.2647,0.08270000000000001,0.26762351231814613,0.2807486215141334,0.26762351231814613,1,0.01312510919598725
0.2647,0.08275,0.267288065486171,0.2807588083275668,0.267288065486171,1,0.013470742841395766
0.2647,0.0828,0.266959789220021,0.28076900154686313,0.266959789220021,1,0.013809212326842124
0.2647,0.08285000000000001,0.26663828503686643,0.2807792011723902,0.26663828503686643,1,0.014140916135523762
0.2647,0.0829,0.26632318954297746,0.28078940720451906,0.26632318954297746,1,0.014466217661541603
0.2647,0.08295000000000001,0.2660141702700468,0.28079961964362077,0.2660141702700468,1,0.014785449373573956
0.2647,0.083,0.2657109221251124,0.280809838490064,0.2657109221251124,1,0.015098916364951642
0.2647,0.08305,0.2654131643471209,0.28082006374421725,0.2654131643471209,1,0.01540689939709633
0.2647,0.08310000000000001,0.2651206378845282,0.28083029540645216,0.2651206378845282,1,0.015709657521923936
0.2647,0.08315,0.2648331031249213,0.2808405334771371,0.2648331031249213,1,0.0160074303522158
0.2647,0.08320000000000001,0.26455033792058175,0.2808507779566418,0.26455033792058175,1,0.01630044003606007
0.2647,0.08325,0.2642721358642608,0.2808610288453358,0.2642721358642608,1,0.01658889298107502
0.2647,0.0833,0.2639983047774431,0.2808712861435881,0.2639983047774431,1,0.016872981366144957
0.2647,0.08335000000000001,0.26372866538000256,0.2808815498517682,0.26372866538000256,1,0.01715288447176566
0.2647,0.0834,0.263463050115351,0.2808918199702448,0.263463050115351,1,0.017428769854893833
0.2647,0.08345000000000001,0.2632013021094391,0.2809020964993884,0.2632013021094391,1,0.017700794389949315
0.2647,0.0835,0.26294327424545977,0.28091237943956743,0.26294327424545977,1,0.01796910519410766
0.2647,0.08355,0.2626888283389225,0.2809226687911499,0.2626888283389225,1,0.018233840452227423
0.2647,0.08360000000000001,0.26243783440010354,0.28093296455450517,0.26243783440010354,1,0.01849513015440163
0.2647,0.08365,0.26219016997285577,0.280943266730003,0.26219016997285577,1,0.01875309675714726
0.2647,0.08370000000000001,0.26194571954031964,0.280953575318012,0.26194571954031964,1,0.019007855777692373
0.2647,0.08375,0.2617043739894684,0.28096389031890123,0.2617043739894684,1,0.019259516329432846
0.2647,0.0838,0.26146603012750147,0.28097421173303744,0.26146603012750147,1,0.019508181605535968
0.2647,0.08385000000000001,0.2612305902441344,0.2809845395607906,0.2612305902441344,1,0.019753949316656194
0.2647,0.0839,0.2609979617145163,0.2809948738025296,0.2609979617145163,1,0.019996912088013297
0.2647,0.08395000000000001,0.26076805663831937,0.2810052144586228,0.26076805663831937,1,0.020237157820303442
0.2647,0.084,0.26054079151100307,0.28101556152943724,0.26054079151100307,1,0.020474770018434174
0.2647,0.08405,0.260316086923889,0.2810259150153426,0.260316086923889,1,0.020709828091453553
0.2647,0.08410000000000001,0.260093867289933,0.28103627491670663,0.260093867289933,1,0.02094240762677363
0.2647,0.08415,0.2598740605926505,0.28104664123389805,0.2598740605926505,1,0.02117258064124755
0.2647,0.08420000000000001,0.2596565981557803,0.28105701396728444,0.2596565981557803,1,0.021400415811504148
0.2647,0.08425,0.259441414431668,0.2810673931172333,0.259441414431668,1,0.02162597868556526
0.2647,0.0843,0.2592284468065353,0.2810777786841132,0.2592284468065353,1,0.021849331877577927
0.2647,0.08435000000000001,0.2590176354210357,0.28108817066829184,0.2590176354210357,1,0.022070535247256162
0.2647,0.0844,0.2588089230046193,0.2810985690701366,0.2588089230046193,1,0.02228964606551731
0.2647,0.08445000000000001,0.2586022547224772,0.28110897389001616,0.2586022547224772,1,0.022506719167538936
0.2647,0.0845,0.25839757803387847,0.2811193851282966,0.25839757803387847,1,0.022721807094418123
0.2647,0.08455,0.2581948425609067,0.28112980278534727,0.2581948425609067,1,0.02293496022444058
0.2647,0.08460000000000001,0.25799399996667916,0.2811402268615344,0.25799399996667916,1,0.023146226894855237
0.2647,0.08465,0.2577950038422028,0.28115065735722533,0.2577950038422028,1,0.023355653515022556
0.2647,0.08470000000000001,0.25759780960115547,0.2811610942727874,0.25759780960115547,1,0.023563284671631934
0.2647,0.08475,0.25740237438192404,0.2811715376085878,0.25740237438192404,1,0.02376916322666378
0.2647,0.0848,0.2572086569562665,0.2811819873649946,0.2572086569562665,1,0.023973330408728122
0.2647,0.08485000000000001,0.25701661764410644,0.28119244354237427,0.25701661764410644,1,0.024175825898267833
0.2647,0.0849,0.2568262182339391,0.2812029061410927,0.2568262182339391,1,0.024376687907153638
0.2647,0.08495000000000001,0.25663742190838157,0.2812133751615171,0.25663742190838157,1,0.024575953253135552
0.2647,0.085,0.25645019317452783,0.2812238506040161,0.25645019317452783,1,0.024773657429488283
0.2647,0.08505,0.25626449779867905,0.28123433246895396,0.25626449779867905,1,0.024969834670274915
0.2647,0.08510000000000001,0.2560803027451368,0.2812448207566982,0.2560803027451368,1,0.025164518011561388
0.2647,0.08515,0.2558975761187729,0.2812553154676153,0.2558975761187729,1,0.02535773934884239
0.2647,0.08520000000000001,0.25571628711106636,0.28126581660207256,0.25571628711106636,1,0.025549529491006195
0.2647,0.08525,0.2555364059493716,0.28127632416043497,0.2555364059493716,1,0.025739918211063362
