Omega_over_gamma,Delta_over_gamma,winner_k,global_gap_over_gamma
0.0,0.0,1,0.5
0.05,0.0,1,0.005051025721682193
0.1,0.0,1,0.020871215252207996
0.15000000000000002,0.0,1,0.050000000000000044
0.2,0.0,1,0.10000000000000002
0.25,0.0,1,0.24999999621620284
0.30000000000000004,0.0,1,0.24999999999999978
0.35000000000000003,0.0,1,0.25000000000000006
0.4,0.0,1,0.2499999999999999
0.45,0.0,1,0.24999999999999994
0.5,0.0,1,0.2500000000000001
0.55,0.0,1,0.2499999999999999
0.6000000000000001,0.0,1,0.24999999999999994
0.65,0.0,1,0.24999999999999975
0.7000000000000001,0.0,1,0.24999999999999975
0.75,0.0,1,0.24999999999999972
0.8,0.0,1,0.24999999999999972
0.8500000000000001,0.0,1,0.24999999999999978
0.9,0.0,1,0.24999999999999986
0.9500000000000001,0.0,1,0.25000000000000006
1.0,0.0,1,0.24999999999999978
1.05,0.0,1,0.25
1.1,0.0,1,0.25000000000000006
1.1500000000000001,0.0,1,0.2499999999999999
1.2000000000000002,0.0,1,0.25000000000000017
1.25,0.0,1,0.25000000000000006
1.3,0.0,1,0.2500000000000001
1.35,0.0,1,0.2500000000000001
1.4000000000000001,0.0,1,0.25
1.4500000000000002,0.0,1,0.24999999999999978
1.5,0.0,1,0.24999999999999956
1.55,0.0,1,0.25
1.6,0.0,1,0.24999999999999997
1.6500000000000001,0.0,1,0.24999999999999956
1.7000000000000002,0.0,1,0.24999999999999933
1.75,0.0,1,0.25000000000000006
1.8,0.0,1,0.24999999999999978
1.85,0.0,1,0.24999999999999956
1.9000000000000001,0.0,1,0.24999999999999956
1.9500000000000002,0.0,1,0.24999999999999994
2.0,0.0,1,0.24999999999999978
2.0500000000000003,0.0,1,0.25000000000000006
2.1,0.0,1,0.25
2.15,0.0,1,0.24999999999999978
2.2,0.0,1,0.24999999999999978
2.25,0.0,1,0.2500000000000003
2.3000000000000003,0.0,1,0.24999999999999992
2.35,0.0,1,0.25000000000000017
2.4000000000000004,0.0,1,0.2499999999999999
2.45,0.0,1,0.2499999999999991
2.5,0.0,1,0.2499999999999999
2.5500000000000003,0.0,1,0.25
2.6,0.0,1,0.24999999999999867
2.6500000000000004,0.0,1,0.2500000000000001
2.7,0.0,1,0.25
2.75,0.0,1,0.2499999999999991
2.8000000000000003,0.0,1,0.25
2.85,0.0,1,0.24999999999999986
2.9000000000000004,0.0,1,0.25000000000000017
2.95,0.0,1,0.2500000000000002
3.0,0.0,1,0.2499999999999999
3.0500000000000003,0.0,1,0.2499999999999991
3.1,0.0,1,0.24999999999999867
3.1500000000000004,0.0,1,0.24999999999999867
3.2,0.0,1,0.25
3.25,0.0,1,0.24999999999999956
3.3000000000000003,0.0,1,0.25
3.35,0.0,1,0.24999999999999997
3.4000000000000004,0.0,1,0.25000000000000006
3.45,0.0,1,0.24999999999999972
3.5,0.0,1,0.2499999999999991
3.5500000000000003,0.0,1,0.24999999999999983
3.6,0.0,1,0.24999999999999972
3.6500000000000004,0.0,1,0.25
3.7,0.0,1,0.24999999999999947
3.75,0.0,1,0.2499999999999991
3.8000000000000003,0.0,1,0.2499999999999997
3.85,0.0,1,0.2499999999999997
3.9000000000000004,0.0,1,0.24999999999999994
3.95,0.0,1,0.25000000000000006
4.0,0.0,1,0.24999999999999956
4.05,0.0,1,0.25000000000000017
4.1000000000000005,0.0,1,0.24999999999999992
4.15,0.0,1,0.24999999999999867
4.2,0.0,1,0.24999999999999994
4.25,0.0,1,0.24999999999999956
4.3,0.0,1,0.25
4.3500000000000005,0.0,1,0.24999999999999967
4.4,0.0,1,0.25
4.45,0.0,1,0.2499999999999997
4.5,0.0,1,0.25
4.55,0.0,1,0.24999999999999964
4.6000000000000005,0.0,1,0.24999999999999994
4.65,0.0,1,0.2499999999999991
4.7,0.0,1,0.2499999999999991
4.75,0.0,1,0.24999999999999822
4.800000000000001,0.0,1,0.25
4.8500000000000005,0.0,1,0.2499999999999991
4.9,0.0,1,0.2499999999999991
4.95,0.0,1,0.25000000000000033
5.0,0.0,1,0.2499999999999999
0.0,0.05,1,0.5
0.05,0.05,1,0.004999489953101127
0.1,0.05,1,0.020636479849623787
0.15000000000000002,0.05,1,0.04931724139011373
0.2,0.05,1,0.09798250938446462
0.25,0.05,1,0.20782977563331673
0.30000000000000004,0.05,1,0.2573188982385756
0.35000000000000003,0.05,1,0.2552128582092188
0.4,0.05,1,0.25394018699562265
0.45,0.05,1,0.25309492678985485
0.5,0.05,1,0.25249974755149673
0.55,0.05,1,0.25206301943588194
0.6000000000000001,0.05,1,0.2517323593745726
0.65,0.05,1,0.25147568184212277
0.7000000000000001,0.05,1,0.2512723056312306
0.75,0.05,1,0.2511083593169442
0.8,0.05,1,0.2509742341376608
0.8500000000000001,0.05,1,0.25086309290702496
0.9,0.05,1,0.2507699581658372
0.9500000000000001,0.05,1,0.2506911340837522
1.0,0.05,1,0.2506238286195159
1.05,0.05,1,0.2505659000162228
1.1,0.05,1,0.2505156827877922
1.1500000000000001,0.05,1,0.2504718658393301
1.2000000000000002,0.05,1,0.25043340555613947
1.25,0.05,1,0.2503994628214541
1.3,0.05,1,0.25036935670476684
1.35,0.05,1,0.25034252995398226
1.4000000000000001,0.05,1,0.25031852296948576
1.4500000000000002,0.05,1,0.2502969539557758
1.5,0.05,1,0.25027750362831624
1.55,0.05,1,0.25025990331788295
1.6,0.05,1,0.2502439256357703
1.6500000000000001,0.05,1,0.2502293770882844
1.7000000000000002,0.05,1,0.2502160921885812
1.75,0.05,1,0.2502039287285489
1.8,0.05,1,0.2501927639566053
1.85,0.05,1,0.2501824914682693
1.9000000000000001,0.05,1,0.25017301866151936
1.9500000000000002,0.05,1,0.250164264642613
2.0,0.05,1,0.25015615849350215
2.0500000000000003,0.05,1,0.2501486378311698
2.1,0.05,1,0.2501416476040057
2.15,0.05,1,0.25013513908166474
2.2,0.05,1,0.25012906900365595
2.25,0.05,1,0.25012339885878826
2.3000000000000003,0.05,1,0.2501180942729655
2.35,0.05,1,0.25011312448712353
2.4000000000000004,0.05,1,0.25010846191043434
2.45,0.05,1,0.25010408173663573
2.5,0.05,1,0.25009996161348713
2.5500000000000003,0.05,1,0.2500960813571218
2.6,0.05,1,0.25009242270444343
2.6500000000000004,0.05,1,0.25008896909789063
2.7,0.05,1,0.2500857054978283
2.75,0.05,1,0.25008261821857314
2.8000000000000003,0.05,1,0.25007969478472863
2.85,0.05,1,0.2500769238049784
2.9000000000000004,0.05,1,0.2500742948609909
2.95,0.05,1,0.2500717984093659
3.0,0.05,1,0.25006942569492807
3.0500000000000003,0.05,1,0.25006716867387624
3.1,0.05,1,0.25006501994553876
3.1500000000000004,0.05,1,0.25006297269164296
3.2,0.05,1,0.2500610206221716
3.25,0.05,1,0.25005915792700734
3.3000000000000003,0.05,1,0.2500573792326485
3.35,0.05,1,0.25005567956343144
