k,Omega_lo,Omega_hi,Delta_lo,Delta_hi,alpha_upper_lowrank,Yim_bound,outside_pad,Yscan,n_y_used,sigma_center_min,sigma_scan_lower,sigma_outside_lower,sigma_global_lower,y_at_min,param_pert,higher_rank_margin,passed
61,0.2,0.21000000000000002,0.05,0.060000000000000005,0.09713408547991176,13.322601097383345,0.6600000000000006,13.982601097383345,801,0.9720755371167091,0.9545972857449798,0.6600000000000006,0.6600000000000006,11.32590688888051,0.6100000000000005,0.050000000000000044,True
61,0.2,0.21000000000000002,0.060000000000000005,0.07,0.09615995812703479,13.502925608918972,0.6600000000000006,14.162925608918972,801,0.9732374543854104,0.9555337973742618,0.6600000000000006,0.6600000000000006,11.330340487135178,0.6100000000000005,0.050000000000000044,True
61,0.2,0.21000000000000002,0.07,0.08000000000000002,0.09507213875620674,13.708045083088981,0.6600000000000008,14.368045083088981,801,0.9743754215309436,0.956415365177082,0.6600000000000008,0.6600000000000008,11.314835502932572,0.6100000000000008,0.050000000000000044,True
61,0.2,0.21000000000000002,0.08000000000000002,0.09000000000000001,0.09388306555465303,13.936864783730945,0.6600000000000004,14.596864783730945,801,0.9757549087454899,0.9575088277658265,0.6600000000000004,0.6600000000000004,11.312570207391483,0.6100000000000003,0.050000000000000044,True
61,0.2,0.21000000000000002,0.09000000000000001,0.1,0.09260524638075412,14.188238086527882,0.6600000000000004,14.848238086527882,801,0.9772881236707844,0.9587278260626242,0.6600000000000004,0.6600000000000004,11.321781540977511,0.6100000000000003,0.050000000000000044,True
61,0.2,0.21000000000000002,0.1,0.11000000000000001,0.09125095914263998,14.460988901178224,0.6600000000000008,15.120988901178224,801,0.9788938948411069,0.9599926587146342,0.6600000000000008,0.6600000000000008,11.30293920363072,0.6100000000000008,0.050000000000000044,True
61,0.2,0.21000000000000002,0.11000000000000001,0.12000000000000001,0.08983201482598543,14.753931679386362,0.6600000000000004,15.413931679386362,801,0.9806787838870585,0.9614113692878252,0.6600000000000004,0.6600000000000004,11.329239784348974,0.6100000000000003,0.050000000000000044,True
61,0.21000000000000002,0.22000000000000003,0.05,0.060000000000000005,0.11063393862822304,13.91014018620948,0.6600000000000006,14.57014018620948,801,0.9863917815768576,0.9681791063440953,0.6600000000000006,0.6600000000000006,-11.91108960222625,0.6100000000000005,0.050000000000000044,True
61,0.21000000000000002,0.22000000000000003,0.060000000000000005,0.07,0.10938640490294735,14.082943584350547,0.6600000000000006,14.742943584350547,801,0.9876982448159375,0.9692695653354992,0.6600000000000006,0.6600000000000006,11.904926944363064,0.6100000000000005,0.050000000000000044,True
61,0.21000000000000002,0.22000000000000003,0.07,0.08000000000000002,0.10800241023605789,14.279733891077948,0.6600000000000008,14.939733891077948,801,0.9893034929955873,0.9706288256317397,0.6600000000000008,0.6600000000000008,11.91443777813466,0.6100000000000008,0.050000000000000044,True
61,0.21000000000000002,0.22000000000000003,0.08000000000000002,0.09000000000000001,0.10650000304317053,14.499534475285746,0.6600000000000004,15.159534475285746,801,0.9908577881911338,0.9719083700970268,0.6600000000000004,0.6600000000000004,11.90023456309931,0.6100000000000003,0.050000000000000044,True
61,0.21000000000000002,0.22000000000000003,0.09000000000000001,0.1,0.10489685306869023,14.741316087785375,0.6600000000000004,15.401316087785375,801,0.9926448972314885,0.973393252121757,0.6600000000000004,0.6600000000000004,-11.897516677814203,0.6100000000000003,0.050000000000000044,True
61,0.21000000000000002,0.22000000000000003,0.1,0.11000000000000001,0.1032098314356927,15.0040161290236,0.6600000000000008,15.6640161290236,801,0.9945744734795222,0.974994453318243,0.6600000000000008,0.6600000000000008,-11.904652258057936,0.6100000000000008,0.050000000000000044,True
61,0.21000000000000002,0.22000000000000003,0.11000000000000001,0.12000000000000001,0.10145471669305062,15.286556185092849,0.6600000000000004,15.946556185092849,801,0.9966494617007913,0.9767162664694251,0.6600000000000004,0.6600000000000004,11.880184357894173,0.6100000000000003,0.050000000000000044,True
61,0.22000000000000003,0.23000000000000004,0.05,0.060000000000000005,0.12624235382440768,14.499534475285758,0.6600000000000006,15.159534475285758,801,0.9982214012754129,0.9792719831813059,0.6600000000000006,0.6600000000000006,-12.468717105922536,0.6100000000000005,0.050000000000000044,True
61,0.22000000000000003,0.23000000000000004,0.060000000000000005,0.07,0.12459548129083964,14.665394641809003,0.6600000000000006,15.325394641809003,801,0.9998818537295556,0.9807251104272944,0.6600000000000006,0.6600000000000006,12.490196633074339,0.6100000000000005,0.050000000000000044,True
61,0.22000000000000003,0.23000000000000004,0.07,0.08000000000000002,0.12278655453590176,14.854470707500827,0.6600000000000008,15.514470707500827,801,1.0017721119040364,0.9823790235196601,0.6600000000000008,0.6600000000000008,12.489148919538167,0.6100000000000008,0.050000000000000044,True
61,0.22000000000000003,0.23000000000000004,0.08000000000000002,0.09000000000000001,0.12084278932942874,15.06588862297875,0.6600000000000004,15.72588862297875,801,1.0039461121180246,0.9842887513393008,0.6600000000000004,0.6600000000000004,12.462766733710659,0.6100000000000003,0.050000000000000044,True
61,0.22000000000000003,0.23000000000000004,0.09000000000000001,0.1,0.11878977725412265,15.29872216886104,0.6600000000000004,15.95872216886104,801,1.0060149697182394,0.9860665670071631,0.6600000000000004,0.6600000000000004,12.48770009713376,0.6100000000000003,0.050000000000000044,True
61,0.22000000000000003,0.23000000000000004,0.1,0.11000000000000001,0.11665097436339109,15.552009516457996,0.6600000000000008,16.212009516457996,801,1.008312264553549,0.9880472526579762,0.6600000000000008,0.6600000000000008,-12.483247327672657,0.6100000000000008,0.050000000000000044,True
61,0.22000000000000003,0.23000000000000004,0.11000000000000001,0.12000000000000001,0.1144474395209539,15.824768560708879,0.6600000000000004,16.48476856070888,801,1.0107296952001679,0.9901237344992821,0.6600000000000004,0.6600000000000004,12.487212184736975,0.6100000000000003,0.050000000000000044,True
61,0.23000000000000004,0.24000000000000005,0.05,0.060000000000000005,0.14479765180136278,15.09056658976066,0.6600000000000006,15.75056658976066,801,1.0067999346653778,0.9871117264281766,0.6600000000000006,0.6600000000000006,-13.072970269501347,0.6100000000000005,0.050000000000000044,True
61,0.23000000000000004,0.24000000000000005,0.060000000000000005,0.07,0.14251325241411078,15.250000000000007,0.6600000000000006,15.910000000000007,801,1.0091814731443762,0.989293973144376,0.6600000000000006,0.6600000000000006,-13.085975000000007,0.6100000000000005,0.050000000000000044,True
