Omega_over_gamma,Delta_over_gamma,gap_k1_over_gamma,gap_k2_over_gamma,gap_k3_over_gamma,gap_k4_over_gamma,winner_k_among_1_to_4
0.0,0.0,0.5,0.5,0.5,0.5,1
0.00125,0.0,3.125019531494301e-06,9.375161138534539e-06,1.8750629927009706e-05,3.125173359876136e-05,1
0.0025,0.0,1.2500312515626254e-05,3.750257849127709e-05,7.501008094968877e-05,0.00012502774725845373,1
0.00375,0.0,2.812658220925369e-05,8.438805593085614e-05,0.0001688010526914665,0.0002813905521300127,1
0.005,0.0,5.0005001000250236e-05,0.00015004127345421637,0.0003001614309418765,0.000500444575989022,1
0.00625,0.0,7.813721084743759e-05,0.00023447579751446494,0.0004691443675445793,0.0007823365290751611,1
0.0075,0.0,0.00011252532389703475,0.00033770909552164696,0.0006758183928056023,0.001127255920500887,1
0.00875,0.0,0.00015317192327616157,0.00045976255454873225,0.0009202675609673225,0.0015354357295078894,1
0.01,0.0,0.000200080064064071,0.0006006615042899136,0.001202591629478203,0.002007153237127502,1
0.01125,0.0,0.00025325327444203404,0.0007604352443289836,0.001522906272961257,0.00254273102535836,1
0.0125,0.0,0.0003126955570227645,0.000939117075786977,0.0018813433329648776,0.003142538152376784,1
0.01375,0.0,0.00037841139036071277,0.0011367443374294766,0.002278051104774065,0.0038069915139842675,1
0.015,0.0,0.0004504057306443963,0.0013533584463258925,0.0027131946627644444,0.00453655740339565,1
0.01625,0.0,0.0005286840135724196,0.0015890049431653845,0.003186956226000529,0.00533175328335164,1
0.0175,0.0,0.0006132521564146949,0.0018437335423467237,0.003699535566015163,0.006193149786939611,1
0.01875,0.0,0.0007041165602608679,0.002117598186972693,0.004251150458960379,0.0071213729659352545,1
0.02,0.0,0.0008012841124577527,0.0024106571088936355,0.004842037184596625,0.008117106808375595,1
0.02125,0.0,0.0009047621892381496,0.002722972893959257,0.0054724510748868456,0.009181096050369965,1
0.0225,0.0,0.0010145586585432551,0.0030546125526533757,0.006142667115292229,0.010314149310801666,1
0.02375,0.0,0.0011306818830412804,0.0034056475963021877,0.006852980602226886,0.01151714258192561,1
0.025,0.0,0.0012531407233450163,0.003776154119064455,0.0076037078605280944,0.012791023113757027,1
0.02625,0.0,0.0013819445414311891,0.0041662128859292335,0.008395187025240527,0.014136813735886433,1
0.0275,0.0,0.0015171032042647823,0.004575909426967598,0.009227778892501277,0.015555617667038314,1
0.02875,0.0,0.0016586270876316543,0.005005334138103743,0.010101867844858862,0.017048623870432496,1
0.03,0.0,0.001806527080182872,0.0054545823886947235,0.011017862856967122,0.018617113022202057,1
0.03125,0.0,0.0019608145876946377,0.005923754636229983,0.011976198588275613,0.02026246417086269,1
0.0325,0.0,0.0021215015375476314,0.006412956548488628,0.01297733657010397,0.021986162178638538,1
0.03375,0.0,0.0022886003834300724,0.006922299133518236,0.014021766495344399,0.02378980605056432,1
0.035,0.0,0.002462124110268739,0.0074518988778291065,0.01511000762000984,0.025675118275454496,1
0.03625,0.0,0.002642086239392767,0.008001877893228936,0.016242610286938436,0.02764395532458737,1
0.0375,0.0,0.0028285008339351517,0.008572364072756486,0.017420157583210482,0.029698319480153293,1
0.03875,0.0,0.003021382504476716,0.009163491256210165,0.01864326714424488,0.0318403721973028,1
0.04,0.0,0.003220746414938674,0.009775399405805928,0.019912593119154297,0.034072449242379864,1
0.04125,0.0,0.0034266082887287807,0.010408234792543256,0.021228828313771816,0.03639707789730425,1
0.0425,0.0,0.0036389844151473736,0.011062150193902411,0.022592706529874794,0.03881699657853129,1
0.043750000000000004,0.0,0.0038578916560598,0.011737305103549003,0.024005005121544562,0.041335177291435335,1
